,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41045,0,2,0,0,89,0,0,1500,900,0,1,2022,0,1
41046,0,34,0,0,50,0,0,500,500,0,1,2022,0,1
41047,0,117,0,0,100,0,0,100,100,0,1,2022,0,1
41048,0,317,0,0,37,0,0,204,136,0,1,2022,0,1
41049,0,328,0,0,36,0,0,10000,2000,0,1,2022,0,1
41050,0,334,0,0,68,0,400,0,100,0,1,2022,0,1
41051,0,2,0,0,100,0,0,400,500,0,1,2022,1,1
41052,0,34,0,0,60,0,0,1000,500,0,1,2022,1,1
41053,0,117,0,0,80,0,0,100,200,0,1,2022,1,1
41054,0,268,0,0,43,0,0,1566,1575,0,1,2022,1,1
41055,0,317,0,0,41,0,300,0,159,0,1,2022,1,1
41056,0,328,0,0,54,0,0,3000,3000,0,1,2022,1,1
41057,0,334,0,0,71,0,700,0,0,0,1,2022,1,1
41058,0,2,0,0,70,0,0,100,800,0,1,2022,2,1
41059,0,34,0,0,60,0,0,500,1000,0,1,2022,2,1
41060,0,117,0,0,60,0,0,0,100,0,1,2022,2,1
41061,0,268,0,0,45,0,730,1957,700,0,1,2022,2,1
41062,0,317,0,0,42,0,0,203,263,0,1,2022,2,1
41063,0,328,0,0,48,0,0,8000,2000,0,1,2022,2,1
41064,0,334,0,0,78,0,800,0,0,0,1,2022,2,1
41065,0,2,0,0,70,0,0,1500,900,0,1,2022,4,1
41066,0,34,0,0,30,0,0,400,400,0,1,2022,4,1
41067,0,268,0,0,26,0,0,1906,872,0,1,2022,4,1
41068,0,317,0,0,35,0,0,0,351,0,1,2022,4,1
41069,0,328,0,0,37,0,0,5000,1000,0,1,2022,4,1
41070,0,2,0,0,89,0,0,1800,1900,0,1,2022,0,2
41071,0,38,0,0,110,0,1000,2500,1500,0,1,2022,0,2
41072,0,53,0,0,38,0,0,500,5300,0,1,2022,0,2
41073,0,80,20,0,20,0,0,1000,1000,0,1,2022,0,2
41074,0,83,0,0,59,0,100,200,400,0,1,2022,0,2
41075,0,117,0,0,190,0,0,300,700,0,1,2022,0,2
41076,0,141,11,0,11,0,350,281,245,0,1,2022,0,2
41077,0,157,0,0,10,0,0,1082,317,0,1,2022,0,2
41078,0,159,0,0,14,0,0,3300,0,0,1,2022,0,2
41079,0,161,0,0,36,0,0,1300,600,0,1,2022,0,2
41080,0,165,0,0,15,0,0,4700,0,0,1,2022,0,2
41081,0,183,0,0,25,0,0,700,200,0,1,2022,0,2
41082,0,199,0,0,11,0,0,2500,0,0,1,2022,0,2
41083,0,258,0,0,7,0,0,3300,0,0,1,2022,0,2
41084,0,268,0,0,89,0,2690,5812,2845,0,1,2022,0,2
41085,0,290,43,0,40,0,0,0,300,0,1,2022,0,2
41086,0,328,0,0,52,0,0,6000,2000,0,1,2022,0,2
41087,0,334,0,0,129,0,400,300,0,0,1,2022,0,2
41088,0,340,0,0,72,0,0,1800,300,0,1,2022,0,2
41089,0,2,0,0,100,0,900,600,1400,0,1,2022,1,2
41090,0,34,0,0,140,0,0,2600,2000,0,1,2022,1,2
41091,0,38,0,0,123,0,1000,3500,1000,0,1,2022,1,2
41092,0,53,0,0,48,0,0,1400,4800,0,1,2022,1,2
41093,0,80,26,0,26,0,1000,2000,1000,0,1,2022,1,2
41094,0,83,0,0,80,0,200,300,200,0,1,2022,1,2
41095,0,105,0,0,21,0,6500,2400,900,0,1,2022,1,2
41096,0,117,0,0,290,0,0,0,1400,0,1,2022,1,2
41097,0,141,11,0,11,0,0,1073,458,0,1,2022,1,2
41098,0,152,0,0,10,0,0,4600,0,0,1,2022,1,2
41099,0,157,0,0,13,0,0,346,291,0,1,2022,1,2
41100,0,159,0,0,17,0,0,5300,0,0,1,2022,1,2
41101,0,161,0,0,42,0,0,11000,2600,0,1,2022,1,2
41102,0,165,0,0,17,0,0,4200,0,0,1,2022,1,2
41103,0,190,0,0,106,0,0,0,3690,0,1,2022,1,2
41104,0,199,0,0,19,0,0,4700,0,0,1,2022,1,2
41105,0,258,0,0,11,0,0,4200,0,0,1,2022,1,2
41106,0,268,0,0,117,0,3896,2827,2850,0,1,2022,1,2
41107,0,287,0,0,19,0,1433,4661,906,0,1,2022,1,2
41108,0,290,45,0,43,0,0,300,500,0,1,2022,1,2
41109,0,309,0,0,50,0,4600,5300,1000,0,1,2022,1,2
41110,0,317,0,0,52,0,206,241,197,0,1,2022,1,2
41111,0,328,0,0,56,0,0,5000,3000,0,1,2022,1,2
41112,0,334,0,0,160,0,100,0,900,0,1,2022,1,2
41113,1,347,0,0,451,0,3100,7700,0,0,1,2022,1,2
41114,1,349,0,0,65,0,0,0,2000,0,1,2022,1,2
41115,1,354,277,0,260,0,0,6000,4800,0,1,2022,1,2
41116,1,355,0,0,294,0,1000,2000,4500,0,1,2022,1,2
41117,1,356,0,0,325,0,2700,15000,3000,0,1,2022,1,2
41118,1,357,0,0,418,0,1000,4000,8300,0,1,2022,1,2
41119,1,359,0,0,283,0,0,15000,7000,0,1,2022,1,2
41120,1,360,0,0,399,0,1000,5000,9000,0,1,2022,1,2
41121,1,361,0,0,414,0,1000,5000,17000,0,1,2022,1,2
41122,1,364,0,0,360,0,1000,9300,10200,0,1,2022,1,2
41123,1,365,0,0,26,0,1000,1000,400,0,1,2022,1,2
41124,1,366,0,0,171,0,300,1100,1400,0,1,2022,1,2
41125,1,368,0,0,329,0,1800,9300,7200,0,1,2022,1,2
41126,1,369,0,0,328,0,1000,1000,1400,0,1,2022,1,2
41127,1,370,0,0,472,0,1500,2100,9600,0,1,2022,1,2
41128,1,371,0,0,282,0,5000,2000,1000,0,1,2022,1,2
41129,1,376,0,0,147,0,200,2000,2700,0,1,2022,1,2
41130,1,377,420,0,369,0,0,33000,6500,0,1,2022,1,2
41131,1,378,0,0,109,0,2000,5000,5000,0,1,2022,1,2
41132,1,379,435,0,324,0,1400,2300,8000,0,1,2022,1,2
41133,1,380,180,0,130,0,400,5400,1800,0,1,2022,1,2
41134,2,386,0,0,548,0,1000,3000,9000,0,1,2022,1,2
41135,2,389,0,0,362,0,1000,11000,7000,0,1,2022,1,2
41136,2,390,0,0,346,0,2500,8000,19000,0,1,2022,1,2
41137,2,391,0,0,558,0,1000,4000,8000,0,1,2022,1,2
41138,1,398,0,0,288,0,1500,4000,6500,0,1,2022,1,2
41139,1,399,0,0,160,0,0,1600,2000,0,1,2022,1,2
41140,1,406,0,0,330,0,2000,4000,6000,0,1,2022,1,2
41141,1,407,0,0,330,0,300,3100,9500,0,1,2022,1,2
41142,0,2,0,0,100,0,0,700,1900,0,1,2022,2,2
41143,0,34,0,0,130,0,0,2000,2000,0,1,2022,2,2
41144,0,38,0,0,120,0,1000,3000,1000,0,1,2022,2,2
41145,0,62,36,0,36,0,200,0,0,0,1,2022,2,2
41146,0,80,0,0,27,0,0,0,1,0,1,2022,2,2
41147,0,83,0,0,86,0,0,200,100,0,1,2022,2,2
41148,0,105,0,0,38,0,1800,1800,1000,0,1,2022,2,2
41149,0,117,0,0,300,0,200,1000,1200,0,1,2022,2,2
41150,0,141,10,0,10,0,125,217,533,0,1,2022,2,2
41151,0,152,0,0,13,0,0,4600,0,0,1,2022,2,2
41152,0,157,0,0,12,0,0,1119,305,0,1,2022,2,2
41153,0,159,0,0,19,0,0,2300,0,0,1,2022,2,2
41154,0,161,0,0,43,0,0,7000,1300,0,1,2022,2,2
41155,0,165,0,0,19,0,0,4800,0,0,1,2022,2,2
41156,0,183,0,0,30,0,0,700,500,0,1,2022,2,2
41157,0,190,0,0,112,0,0,0,3370,0,1,2022,2,2
41158,0,199,0,0,20,0,0,2200,0,0,1,2022,2,2
41159,0,258,0,0,11,0,0,4600,0,0,1,2022,2,2
41160,0,268,0,0,110,0,1668,3436,3213,0,1,2022,2,2
41161,0,287,0,0,20,0,4127,3505,1167,0,1,2022,2,2
41162,0,290,55,0,52,0,0,0,400,0,1,2022,2,2
41163,0,309,0,0,51,0,5900,4700,1000,0,1,2022,2,2
41164,0,317,0,0,55,0,0,273,268,0,1,2022,2,2
41165,0,328,0,0,75,0,4000,9000,0,0,1,2022,2,2
41166,0,334,0,0,176,0,500,0,300,0,1,2022,2,2
41167,0,340,0,0,84,0,0,1600,1400,0,1,2022,2,2
41168,1,347,0,0,459,0,2000,5300,8100,0,1,2022,2,2
41169,1,349,0,0,489,0,0,300,12000,0,1,2022,2,2
41170,1,350,0,0,836,0,3000,14000,24900,0,1,2022,2,2
41171,1,352,0,0,612,0,1600,15000,12300,0,1,2022,2,2
41172,1,353,0,0,252,0,1000,2000,3000,0,1,2022,2,2
41173,1,354,277,0,265,0,0,7000,5400,0,1,2022,2,2
41174,1,355,0,0,264,0,600,1300,2400,0,1,2022,2,2
41175,1,356,0,0,322,0,500,7300,3000,0,1,2022,2,2
41176,1,357,0,0,402,0,1000,5000,7000,0,1,2022,2,2
41177,1,358,0,0,397,0,0,2000,5000,0,1,2022,2,2
41178,1,359,0,0,265,0,0,9000,7000,0,1,2022,2,2
41179,1,360,0,0,406,0,1000,5000,9000,0,1,2022,2,2
41180,1,361,0,0,440,0,1000,5000,17000,0,1,2022,2,2
41181,1,364,0,0,386,0,500,8500,7700,0,1,2022,2,2
41182,1,365,0,0,210,0,1000,1000,5000,0,1,2022,2,2
41183,1,366,0,0,172,0,700,2000,1200,0,1,2022,2,2
41184,1,367,0,0,322,0,0,8400,9600,0,1,2022,2,2
41185,1,368,0,0,309,0,1300,7200,6000,0,1,2022,2,2
41186,1,369,0,0,351,0,0,500,1600,0,1,2022,2,2
41187,1,370,0,0,541,0,1400,6700,8600,0,1,2022,2,2
41188,1,371,0,0,281,0,2000,1000,4000,0,1,2022,2,2
41189,1,372,0,0,238,0,1200,500,4100,0,1,2022,2,2
41190,1,373,0,0,582,0,1000,2300,4100,0,1,2022,2,2
41191,1,376,0,0,151,0,200,1300,2400,0,1,2022,2,2
41192,1,377,420,0,369,0,0,3300,5400,0,1,2022,2,2
41193,1,378,0,0,115,0,3000,4000,2000,0,1,2022,2,2
41194,1,379,435,0,324,0,1400,2000,8900,0,1,2022,2,2
41195,1,380,180,0,129,0,200,1300,2200,0,1,2022,2,2
41196,2,386,0,0,576,0,1300,4000,8400,0,1,2022,2,2
41197,2,389,0,0,434,0,1000,12200,8200,0,1,2022,2,2
41198,2,390,0,0,384,0,2000,8000,14000,0,1,2022,2,2
41199,2,391,0,0,725,0,1000,4000,22000,0,1,2022,2,2
41200,1,398,0,0,324,0,500,1000,6000,0,1,2022,2,2
